"filename", "language", "PHP", "XML", "CSS", "SQL", "JSON", "Ini", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\seller\products\reviews.blade.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\seller\products\update.blade.php", "PHP", 96, 0, 0, 0, 0, 0, 0, 1, 97
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\user\auth\login.blade.php", "PHP", 14, 0, 0, 0, 0, 0, 0, -1, 13
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\user\auth\register.blade.php", "PHP", -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\user\auth\verifyemail.blade.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\user\auth\verifyphone.blade.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\user\cart.blade.php", "PHP", -1, 0, 0, 0, 0, 0, 0, 2, 1
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\user\orders\addtocart.blade.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 3, 44
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\user\orders\ordershistory.blade.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\admin\source\repos\Silerium_laravel\routes\api\api.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\admin\source\repos\Silerium_laravel\routes\web\admin.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\admin\source\repos\Silerium_laravel\routes\web\seller.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\admin\source\repos\Silerium_laravel\routes\web\user.php", "PHP", 9, 0, 0, 0, 0, 0, 0, -1, 8
"c:\Users\admin\source\repos\Silerium_laravel\routes\web\web.php", "PHP", -2, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\admin\source\repos\Silerium_laravel\tests\CreatesApplication.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\API\APICategoriesTest.php", "PHP", 12, 0, 0, 0, 0, 0, 5, 4, 21
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\API\APIProductTest.php", "PHP", 115, 0, 0, 0, 0, 0, 5, 26, 146
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\API\APISubcategoriesTest.php", "PHP", 62, 0, 0, 0, 0, 0, 5, 19, 86
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\API\APIUsersTest.php", "PHP", 21, 0, 0, 0, 0, 0, 5, 6, 32
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\ExampleTest.php", "PHP", -11, 0, 0, 0, 0, 0, -6, -5, -22
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\Seller\SellerAuthTest.php", "PHP", 38, 0, 0, 0, 0, 0, 5, 13, 56
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\User\UserAuthTest.php", "PHP", 39, 0, 0, 0, 0, 0, 5, 14, 58
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\User\UserCartTest.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 14, 59
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\User\UserOrderTest.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 19, 65
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\User\UserReviewTest.php", "PHP", 88, 0, 0, 0, 0, 0, 5, 15, 108
"c:\Users\admin\source\repos\Silerium_laravel\tests\Unit\ExampleTest.php", "PHP", -10, 0, 0, 0, 0, 0, -5, -4, -19
"Total", "-", 11392, -2, 8, 67, 405, -1, 15793, 683, 28345
