"filename", "language", "PHP", "CSS", "JavaScript", "JSON", "Markdown", "XML", "SQL", "Ini", "Properties", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Subcategory.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\User.php", "PHP", 110, 0, 0, 0, 0, 0, 0, 0, 0, 20, 11, 141
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\AppServiceProvider.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 30
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\AuthServiceProvider.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 51
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\BroadcastServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\CheckUserRoleProvider.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ConvertCurrencyServiceProvider.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\EmailValidationProvider.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\EventServiceProvider.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 43
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\PhoneValidationProvider.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 33
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ProductCartServiceProvider.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\RouteServiceProvider.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 81
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ChangeCartAmount.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\CheckUserRoleService.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ConvertCurrencyService.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 14
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\DeleteClosedOrdersService.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\MakeReviewService.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
