"filename", "language", "PHP", "JavaScript", "CSS", "Markdown", "XML", "JSON", "SQL", "Properties", "Ini", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\AuthServiceProvider.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 50
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\BroadcastServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\CheckUserRoleProvider.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ConvertCurrencyServiceProvider.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\EmailValidationProvider.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\EventServiceProvider.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 43
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\FilterItemsProvider.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ManualPaginatorProvider.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\OrderProvider.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\PhoneValidationProvider.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 33
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ProductProvider.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ReviewProvider.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\RouteServiceProvider.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 81
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\UserProvider.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ValidatePasswordHashProvider.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ChangeCartAmount.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\CheckUserRoleService.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
