"filename", "language", "PHP", "SQL", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ValidatePhoneFacade.php", "PHP", 10, 0, 0, 0, 0, 3, 13
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APIProductsController.php", "PHP", -7, 0, 0, 0, 0, 0, -7
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APIUsersController.php", "PHP", 22, 0, 0, 0, 6, 5, 33
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Admin\UsersAdminPanelController.php", "PHP", 85, 0, 0, 0, 0, 0, 85
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Product\CatalogController.php", "PHP", -23, 0, 0, 0, 0, -1, -24
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Seller\SellerAuthController.php", "PHP", 18, 0, 0, 0, 0, 5, 23
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Seller\SellerController.php", "PHP", 11, 0, 0, 0, 0, 4, 15
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserAuthController.php", "PHP", -18, 0, 0, 0, 0, 0, -18
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserController.php", "PHP", -9, 0, 0, 0, 0, 0, -9
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserOrderController.php", "PHP", -9, 0, 0, 0, 0, 0, -9
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserReviewController.php", "PHP", -19, 0, 0, 0, 0, 0, -19
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\AuthorizeAdminMiddleware.php", "PHP", -23, 0, 0, 0, -7, -4, -34
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\AuthorizeAdminPanelMiddleware.php", "PHP", 24, 0, 0, 0, 7, 4, 35
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\UserEditProfileRequest.php", "PHP", 24, 0, 0, 0, 10, 5, 39
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\UserLoginRequest.php", "PHP", 17, 0, 0, 0, 10, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\UserRegisterRequest.php", "PHP", 25, 0, 0, 0, 10, 5, 40
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Order.php", "PHP", 4, 0, 0, 0, 0, 0, 4
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Product.php", "PHP", 5, 0, 0, 0, 0, 0, 5
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Review.php", "PHP", 1, 0, 0, 0, 0, 0, 1
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Role.php", "PHP", 1, 0, 0, 0, 0, 0, 1
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Seller.php", "PHP", 34, 0, 0, 0, 0, 6, 40
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\User.php", "PHP", 12, 0, 0, 0, 0, 1, 13
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\CheckUserRoleProvider.php", "PHP", 16, 0, 0, 0, 11, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ConvertCurrencyServiceProvider.php", "PHP", 0, 0, 0, 0, -1, 0, -1
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\EmailValidationProvider.php", "PHP", 0, 0, 0, 0, -1, 0, -1
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\FilterItemsProvider.php", "PHP", 16, 0, 0, 0, 11, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ManualPaginatorProvider.php", "PHP", 16, 0, 0, 0, 11, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\OrderProvider.php", "PHP", 15, 0, 0, 0, 11, 5, 31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ProductProvider.php", "PHP", 15, 0, 0, 0, 11, 5, 31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ReviewProvider.php", "PHP", 15, 0, 0, 0, 11, 5, 31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\RouteServiceProvider.php", "PHP", 7, 0, 0, 0, 0, -1, 6
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\UserProvider.php", "PHP", 15, 0, 0, 0, 11, 5, 31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ValidatePasswordHashProvider.php", "PHP", 16, 0, 0, 0, 11, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ChangeCartAmount.php", "PHP", 18, 0, 0, 0, 0, 1, 19
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\CheckUserRoleService.php", "PHP", 20, 0, 0, 0, 0, 3, 23
