"filename", "language", "JavaScript", "PHP", "Markdown", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\OSPanel\domains\silerium\database\seeders\ProductSeeder.php", "PHP", 0, 22, 0, 0, 0, 0, 5, 4, 31
"c:\OSPanel\domains\silerium\database\seeders\ProductSpecificationsSeeder.php", "PHP", 0, 17, 0, 0, 0, 0, 5, 4, 26
"c:\OSPanel\domains\silerium\database\seeders\SubcategorySeeder.php", "PHP", 0, 18, 0, 0, 0, 0, 5, 4, 27
"c:\OSPanel\domains\silerium\lang\en\auth.php", "PHP", 0, 6, 0, 0, 0, 0, 10, 5, 21
"c:\OSPanel\domains\silerium\lang\en\pagination.php", "PHP", 0, 5, 0, 0, 0, 0, 10, 5, 20
"c:\OSPanel\domains\silerium\lang\en\passwords.php", "PHP", 0, 8, 0, 0, 0, 0, 10, 5, 23
"c:\OSPanel\domains\silerium\lang\en\validation.php", "PHP", 0, 146, 0, 0, 0, 0, 30, 9, 185
"c:\OSPanel\domains\silerium\lang\ru\http-statuses.php", "PHP", 0, 82, 0, 0, 0, 0, 0, 3, 85
"c:\OSPanel\domains\silerium\lang\ru\ru.json", "JSON", 0, 0, 0, 0, 179, 0, 0, 1, 180
"c:\OSPanel\domains\silerium\lang\ru\validation.php", "PHP", 0, 259, 0, 0, 0, 0, 0, 5, 264
"c:\OSPanel\domains\silerium\package-lock.json", "JSON", 0, 0, 0, 0, 3267, 0, 0, 1, 3268
"c:\OSPanel\domains\silerium\package.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\OSPanel\domains\silerium\phpunit.xml", "XML", 0, 0, 0, 0, 0, 31, 0, 1, 32
"c:\OSPanel\domains\silerium\postcss.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\OSPanel\domains\silerium\public\css\site.css", "CSS", 0, 0, 0, 72, 0, 0, 0, 17, 89
"c:\OSPanel\domains\silerium\public\index.php", "PHP", 0, 14, 0, 0, 0, 0, 30, 12, 56
"c:\OSPanel\domains\silerium\resources\css\app.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\OSPanel\domains\silerium\resources\js\app.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\OSPanel\domains\silerium\resources\js\bootstrap.js", "JavaScript", 5, 0, 0, 0, 0, 0, 23, 8, 36
"c:\OSPanel\domains\silerium\resources\views\catalog\addtocart.blade.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 3, 44
"c:\OSPanel\domains\silerium\resources\views\catalog\product.blade.php", "PHP", 0, 135, 0, 0, 0, 0, 0, 2, 137
"c:\OSPanel\domains\silerium\resources\views\catalog\products.blade.php", "PHP", 0, 235, 0, 0, 0, 0, 1, 11, 247
"c:\OSPanel\domains\silerium\resources\views\categories\index.blade.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 1, 27
"c:\OSPanel\domains\silerium\resources\views\categories\subcategories.blade.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\OSPanel\domains\silerium\resources\views\components\error.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\OSPanel\domains\silerium\resources\views\components\layout.blade.php", "PHP", 0, 110, 0, 0, 0, 0, 0, 4, 114
"c:\OSPanel\domains\silerium\resources\views\components\pagination.blade.php", "PHP", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\OSPanel\domains\silerium\resources\views\home.blade.php", "PHP", 0, 67, 0, 0, 0, 0, 0, 2, 69
"c:\OSPanel\domains\silerium\resources\views\pagination\custom.blade.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 4, 47
"c:\OSPanel\domains\silerium\resources\views\user\auth\login.blade.php", "PHP", 0, 44, 0, 0, 0, 0, 0, 2, 46
"c:\OSPanel\domains\silerium\resources\views\user\auth\register.blade.php", "PHP", 0, 70, 0, 0, 0, 0, 0, 1, 71
"c:\OSPanel\domains\silerium\resources\views\user\cart.blade.php", "PHP", 0, 124, 0, 0, 0, 0, 0, 2, 126
"c:\OSPanel\domains\silerium\resources\views\user\editprofile.blade.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 2, 62
"c:\OSPanel\domains\silerium\resources\views\user\orders\editorder.blade.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 1, 39
"c:\OSPanel\domains\silerium\resources\views\user\orders\ordershistory.blade.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\OSPanel\domains\silerium\resources\views\user\profile.blade.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 0, 51
"c:\OSPanel\domains\silerium\resources\views\user\review\editreview.blade.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 0, 50
"c:\OSPanel\domains\silerium\resources\views\user\review\reviewproduct.blade.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 1, 54
"c:\OSPanel\domains\silerium\resources\views\user\review\userreviews.blade.php", "PHP", 0, 66, 0, 0, 0, 0, 0, 1, 67
"c:\OSPanel\domains\silerium\rollup.config.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 3, 86
"c:\OSPanel\domains\silerium\routes\api.php", "PHP", 0, 6, 0, 0, 0, 0, 10, 4, 20
"c:\OSPanel\domains\silerium\routes\channels.php", "PHP", 0, 5, 0, 0, 0, 0, 10, 4, 19
"c:\OSPanel\domains\silerium\routes\console.php", "PHP", 0, 6, 0, 0, 0, 0, 10, 4, 20
"c:\OSPanel\domains\silerium\routes\web.php", "PHP", 0, 39, 0, 0, 0, 0, 10, 9, 58
"c:\OSPanel\domains\silerium\tests\CreatesApplication.php", "PHP", 0, 12, 0, 0, 0, 0, 5, 6, 23
"c:\OSPanel\domains\silerium\tests\Feature\ExampleTest.php", "PHP", 0, 11, 0, 0, 0, 0, 6, 5, 22
"c:\OSPanel\domains\silerium\tests\TestCase.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\OSPanel\domains\silerium\tests\Unit\ExampleTest.php", "PHP", 0, 10, 0, 0, 0, 0, 5, 4, 19
"c:\OSPanel\domains\silerium\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 0, 0, 1, 0, 0, 2, 0, 3
"c:\OSPanel\domains\silerium\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\OSPanel\domains\silerium\vite.config.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 23
"Total", "-", 133, 4047, 2, 75, 12714, 31, 1426, 701, 19129
